과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,학년,필수,전체 벡터
탁구,최승욱,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,0,1,"[1, 0, 0, 0]",0,0.0,,수/1-3,1.0,필수 아님,"[0.6, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0, 0, 3, 1, 0, 1.0]"
호신술,양윤권,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",1,0.0,,수/1-3,1.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0.0, 0, 0, 3, 1, 0, 1.0]"
웰니스 요가,육영숙,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
생활 소품 디자인,정유진,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[0.2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
웰니스와 체형관리,백승희,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,금/4-6,1.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
스타트업 트렌드,김성호,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0,0.5,,금/4-6,1.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.5, 0, 0, 3, 1, 0, 1.0]"
스타트업 트렌드,지윤정,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.8,"[1, 0, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
뷰티 창업론,이채현,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,1.0,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
창업과 재무제표 분석,김성빈,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1.0,,금/4-6,1.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
실전창업과 상권분석,구웅모,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,1.0,"[0, 0, 0, 0, 0]",0.2,1,1,"[0, 0, 0, 0]",0,1.0,,금/1-3,1.0,필수 아님,"[0.2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
자기 이해와 진로탐색,이정은,공통,진로소양,도전과실천,"[1, 0]","[0, 3, 0]","2,3학년 대상 수업 (시험 날짜 추후 공지) 
★교과 관련 과제/시험 세부사항 교육시스템(코스모스앱) 공지사항 필독!!",1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",0,1.0,,목/1-2,2.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
비즈니스와 생활예절,김선주,공통,진로소양,도전과실천,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,월/1-3,2.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 0.8]"
생활 한자,김용재,공통,진로소양,자유선택,"[1, 0]","[0, 3, 0]",,1.0,"[1, 0, 0, 0, 0]",0.4,0,0,"[1, 0, 0, 0]",0,1.0,,월/10-12,2.0,필수 아님,"[0.4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
진로설계,이정은,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","2-3학년 인문계열 대상 (인문,  인문융합예술, 사회, 법과, 사범, 미술, 음악)",1.0,"[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1.0,,월/5-6,2.0,필수 아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
진로설계,여지은,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","2-3학년 이공계열 대상 (자연과학, 공과, 간호, 생활산업대학)",1.0,"[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1.0,,월/2-3,2.0,필수 아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
리더십,정방호,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1.0,,수/1-3,2.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 0, 1, 1.0]"
비즈니스 스피치,김선주,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,금/4-6,2.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
스타일 메이크업,김희진,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",0,1.0,,수/7-9,2.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
기초 영문법,이용재,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,0.6,"[0, 1, 0, 0, 0]",1.0,0,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[1.0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 0.6]"
대학생을 위한 경제교육과 실용금융,김재호,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
성공적인 진로를 위한 기업가정신,김종석,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,0,1,"[0, 0, 0, 0]",0,1.0,,금/4-6,2.0,필수 아님,"[0.6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
문화예술 교육 현장의 이해와 실습,강향숙,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","문화예술교육사 관련 교과, 현장 실습 필수(미이수 시 F)",0.4,"[0, 1, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0,1.0,,목/7-9,2.0,필수 아님,"[0.2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.4]"
문화예술 교육 개론,임성훈,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",문화예술교육사 관련 교과,0.8,"[1, 0, 0, 0, 0]",0.4,1,1,"[0, 1, 0, 0]",0,1.0,,목/1-3,2.0,필수 아님,"[0.4, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
기업 환경 홍보의 의미와 미래,서경덕,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
영미 대중음악과 문화,마이클 엘리어트,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.2,1,1,"[1, 0, 0, 0]",0,0.0,,월/1-3,2.0,필수 아님,"[0.2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0, 0, 3, 0, 1, 1.0]"
시사로 중국문화 읽기,강선화,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1.0,,금/7-9,2.0,필수 아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
Basic Communication Skills,김장욱,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",영어 전용 강좌,1.0,"[0, 1, 0, 0, 0]",0.2,1,1,"[1, 0, 0, 0]",0,1.0,,월/1-3,2.0,필수 아님,"[0.2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
골목경제와 로컬크리에이터,채지민,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.8,"[1, 0, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
로컬 화장품 브랜딩과 소비자 이해,이보영,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.4,"[0, 0, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0,1.0,,월/1-3,2.0,필수 아님,"[0.2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.4]"
세계의 차 문화,김효주,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,금/4-6,2.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
예비 부모 교육,김선주,공통,진로소양,자유선택,"[0, 1]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,수/4-6,2.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
필라테스 움직임 과학,이지예,공통,진로소양,자유선택,"[0, 1]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,월/1-3,2.0,필수 아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 0.0]"
볼링,정영남,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",볼링장에서 실습 예정이므로 수업계획서에서 반드시 내용 확인,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
탁구,최승욱,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,0,1,"[1, 0, 0, 0]",0,0.0,,수/1-3,2.0,필수 아님,"[0.6, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0, 0, 3, 1, 0, 1.0]"
호신술,양윤권,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",1,0.0,,수/1-3,2.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0.0, 0, 0, 3, 1, 0, 1.0]"
웰니스 요가,육영숙,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
생활 소품 디자인,정유진,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[0.2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
웰니스와 체형관리,백승희,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,금/4-6,2.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
스타트업 트렌드,김성호,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0,0.5,,금/4-6,2.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.5, 0, 0, 3, 1, 0, 1.0]"
스타트업 트렌드,지윤정,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.8,"[1, 0, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
뷰티 창업론,이채현,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,1.0,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1.0,,수/1-3,2.0,필수 아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
창업과 재무제표 분석,김성빈,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1.0,,금/4-6,2.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
실전창업과 상권분석,구웅모,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,1.0,"[0, 0, 0, 0, 0]",0.2,1,1,"[0, 0, 0, 0]",0,1.0,,금/1-3,2.0,필수 아님,"[0.2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
자기 이해와 진로탐색,이정은,공통,진로소양,도전과실천,"[1, 0]","[0, 3, 0]","2,3학년 대상 수업 (시험 날짜 추후 공지) 
★교과 관련 과제/시험 세부사항 교육시스템(코스모스앱) 공지사항 필독!!",1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",0,1.0,,목/1-2,3.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
비즈니스와 생활예절,김선주,공통,진로소양,도전과실천,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,월/1-3,3.0,필수 아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 0.8]"
생활 한자,김용재,공통,진로소양,자유선택,"[1, 0]","[0, 3, 0]",,1.0,"[1, 0, 0, 0, 0]",0.4,0,0,"[1, 0, 0, 0]",0,1.0,,월/10-12,3.0,필수 아님,"[0.4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
맞춤형 취업역량 기초,이정은,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","3,4학년 대상 / 교과목명 변경전 교과명 <취업 실전 전략>",1.0,"[1, 0, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0,1.0,,월/7-8,3.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
맞춤형 취업역량 기초,이정은,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","3,4학년 대상 / 교과목명 변경전 교과명 <취업 실전 전략>",1.0,"[1, 0, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0,1.0,,월/2-3,3.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
맞춤형 취업역량 실전,김치성,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","3,4학년 대상 / 교과목명 변경전 교과명 <취업정보 분석 및 입사전략> / 
팀티칭 운영(1-7주차 강원준교수/ 8-15주차 김치성교수)",1.0,"[1, 0, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0,1.0,,금/1-2,3.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
맞춤형 취업역량 실전,김치성,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","3,4학년 대상 / 교과목명 변경전 교과명 <취업정보 분석 및 입사전략> / 
팀티칭 운영(1-7주차 강원준교수/ 8-15주차 김치성교수)",1.0,"[1, 0, 0, 0, 0]",0.2,1,0,"[1, 0, 0, 0]",0,1.0,,목/2-3,3.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
취업트렌드와 문제해결력,이동원,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","3,4학년 대상 수업 / 교과목명 변경전 교과명 <직무 적성검사 분석>",1.0,"[1, 0, 0, 0, 0]",0.2,0,0,"[1, 0, 0, 0]",0,1.0,,수/2-3,3.0,필수 아님,"[0.2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
